,Header,x,y,lat,lon,heading,steer,distance,carvature,velocity,timeInterval,status,timestamp,type
0,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,0.0,0.0,3.605551275463989,0.0,bad,1594901215291,GPS
1,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,-0.7948010150922875,0.0,-inf,3.605551275463989,0.21696066856384277,bad,1594901215508,GPS
2,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,-0.7948010150922875,0.0,-inf,3.605551275463989,0.22275495529174805,bad,1594901215731,GPS
3,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,-0.7948010150922875,0.0,-inf,3.605551275463989,0.2168722152709961,bad,1594901215948,GPS
4,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,-0.7948010150922875,0.0,-inf,3.605551275463989,0.2272017002105713,bad,1594901216175,GPS
5,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,-0.7948010150922875,0.0,-inf,3.605551275463989,0.21441149711608887,bad,1594901216388,GPS
6,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,-0.7948010150922875,0.0,-inf,3.605551275463989,0.21604180335998535,bad,1594901216604,GPS
7,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,-0.7948010150922875,0.0,-inf,3.605551275463989,0.22446608543395996,bad,1594901216828,GPS
8,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,-0.7948010150922875,0.0,-inf,3.605551275463989,0.21349096298217773,bad,1594901217043,GPS
9,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,-0.7948010150922875,0.0,-inf,3.605551275463989,0.21666646003723145,bad,1594901217260,GPS
10,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,-0.7948010150922875,0.0,-inf,3.605551275463989,0.22290539741516113,bad,1594901217483,GPS
11,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,-0.7948010150922875,0.0,-inf,3.605551275463989,0.21677350997924805,bad,1594901217700,GPS
12,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,-0.7948010150922875,0.0,-inf,3.605551275463989,0.2154989242553711,bad,1594901217915,GPS
13,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,-0.7948010150922875,0.0,-inf,3.605551275463989,0.22572851181030273,bad,1594901218141,GPS
14,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,-0.7948010150922875,0.0,-inf,3.605551275463989,0.21563172340393066,bad,1594901218356,GPS
15,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,-0.7948010150922875,0.0,-inf,3.605551275463989,0.2167491912841797,bad,1594901218573,GPS
16,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,-0.7948010150922875,0.0,-inf,3.605551275463989,0.2229459285736084,bad,1594901218796,GPS
17,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,-0.7948010150922875,0.0,-inf,3.605551275463989,0.22002363204956055,bad,1594901219016,GPS
18,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,-0.7948010150922875,0.0,-inf,3.605551275463989,0.2140519618988037,bad,1594901219229,GPS
19,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,-0.7948010150922875,0.0,-inf,3.605551275463989,0.2159130573272705,bad,1594901219446,GPS
20,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,-0.7948010150922875,0.0,-inf,3.605551275463989,0.22213244438171387,bad,1594901219668,GPS
21,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,-0.7948010150922875,0.0,-inf,3.605551275463989,0.21732020378112793,bad,1594901219886,GPS
22,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,-0.7948010150922875,0.0,-inf,3.605551275463989,0.22292184829711914,bad,1594901220108,GPS
23,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,-0.7948010150922875,0.0,-inf,3.605551275463989,0.2166297435760498,bad,1594901220325,GPS
24,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,-0.7948010150922875,0.0,-inf,3.605551275463989,0.21584534645080566,bad,1594901220541,GPS
25,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,-0.7948010150922875,0.0,-inf,3.605551275463989,0.21689486503601074,bad,1594901220758,GPS
26,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,-0.7948010150922875,0.0,-inf,3.605551275463989,0.22283196449279785,bad,1594901220981,GPS
27,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,-0.7948010150922875,0.0,-inf,3.605551275463989,0.21653079986572266,bad,1594901221197,GPS
28,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,-0.7948010150922875,0.0,-inf,3.605551275463989,0.2258152961730957,bad,1594901221422,GPS
29,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,-0.7948010150922875,0.0,-inf,3.605551275463989,0.21607017517089844,bad,1594901221638,GPS
