,Header,x,y,lat,lon,heading,distance,carvature,velocity,timeInterval,status,timestamp,type
0,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,0.0,3.605551275463989,0,bad,1594689680827,GPS
1,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689681047,GPS
2,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689681264,GPS
3,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689681483,GPS
4,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689681702,GPS
5,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689681922,GPS
6,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689682146,GPS
7,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689682373,GPS
8,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689682595,GPS
9,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689682814,GPS
10,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689683032,GPS
11,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689683252,GPS
12,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689683470,GPS
13,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689683689,GPS
14,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689683907,GPS
15,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689684126,GPS
16,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689684345,GPS
17,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689684573,GPS
18,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689684795,GPS
19,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689685011,GPS
20,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689685232,GPS
21,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689685448,GPS
22,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689685667,GPS
23,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689685887,GPS
24,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689686104,GPS
25,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689686324,GPS
26,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689686542,GPS
27,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689686769,GPS
28,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689686987,GPS
29,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689687205,GPS
30,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689687427,GPS
31,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689687644,GPS
32,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689687862,GPS
33,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689688096,GPS
34,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689688315,GPS
35,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689688533,GPS
36,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689688752,GPS
37,b'$GPFPD,746407.984620437,2549558.7858945266,23.0363966,113.3909204,264.316,0.0,,3.605551275463989,0,bad,1594689688971,GPS
